População total por estado (2016-2018),,,
Estado,População (2016),População (2017),População (2018)
Acre (AC),816.687,829.619,869.267
Alagoas (AL),3.350.288,3.375.823,3.322.822
Amapá (AP),782.656,794.576,829.494
Amazonas (AM),4.001.667,4.063.614,4.144.597
Bahia (BA),15.276.566,15.344.447,15.429.351
Ceará (CE),8.963.856,9.020.457,9.075.645
Distrito Federal (DF),2.977.216,3.039.444,2.978.784
Espírito Santo (ES),3.973.697,4.018.651,4.108.508
Goiás (GO),6.695.855,6.778.772,6.921.161
Maranhão (MA),6.954.036,7.000.229,7.035.055
Mato Grosso (MT),3.305.531,3.344.544,3.441.745
Mato Grosso do Sul (MS),2.682.909,2.713.147,2.748.023
Minas Gerais (MG),21.001.077,21.119.536,21.292.666
Pará (PA),8.272.724,8.366.661,8.528.051
Paraíba (PB),3.999.415,3.999.415,3.978.910
Paraná (PR),11.242.720,11.320.892,11.433.957
Pernambuco (PE),9.382.376,9.421.138,9.557.071
Piauí (PI),3.217.189,3.264.531,3.273.227
Rio de Janeiro (RJ),16.635.996,16.718.956,17.159.960
Rio Grande do Norte (RN),3.474.998,3.507.003,3.534.165
Rio Grande do Sul (RS),11.286.516,11.329.679,11.377.239
Rondônia (RO),1.787.279,1.802.215,1.757.589
Roraima (RR),519.866,522.636,576.568
Santa Catarina (SC),6.910.840,7.001.161,7.164.788
São Paulo (SP),44.757.525,45.094.866,45.538.936
Sergipe (SE),2.265.779,2.288.752,2.288.583
Tocantins (TO),1.550.194,1.554.459,1.572.866